date,supergas,gas,diesel
13/05/2023,1.774,1.549,1.39
12/05/2023,1.774,1.517,1.39
11/05/2023,1.734,1.517,1.39
05/05/2023,1.734,1.517,1.376
04/05/2023,1.785,1.555,1.376
03/05/2023,1.785,1.555,1.395
29/04/2023,1.785,1.569,1.395
27/04/2023,1.785,1.569,1.432
25/04/2023,1.764,1.569,1.432
22/04/2023,1.764,1.569,1.455
21/04/2023,1.82,1.569,1.455
19/04/2023,1.82,1.607,1.455
18/04/2023,1.82,1.633,1.481
08/04/2023,1.836,1.633,1.481
06/04/2023,1.836,1.599,1.481
01/04/2023,1.809,1.599,1.467
31/03/2023,1.809,1.599,1.49
28/03/2023,1.776,1.556,1.49
23/03/2023,1.725,1.512,1.49
22/03/2023,1.725,1.526,1.49
18/03/2023,1.748,1.526,1.49
17/03/2023,1.748,1.526,1.532
16/03/2023,1.774,1.526,1.532
14/03/2023,1.774,1.572,1.556
10/03/2023,1.812,1.572,1.556
09/03/2023,1.799,1.572,1.556
07/03/2023,1.799,1.572,1.592
01/03/2023,1.799,1.557,1.571
24/02/2023,1.784,1.557,1.536
23/02/2023,1.806,1.557,1.536
22/02/2023,1.806,1.557,1.551
21/02/2023,1.806,1.569,1.551
18/02/2023,1.806,1.569,1.551
15/02/2023,1.806,1.569,1.581
10/02/2023,1.791,1.569,1.581
08/02/2023,1.754,1.547,1.528
07/02/2023,1.754,1.547,1.566
04/02/2023,1.803,1.58,1.566
02/02/2023,1.803,1.58,1.621
01/02/2023,1.8,1.58,1.621
28/01/2023,1.8,1.58,1.653
27/01/2023,1.817,1.58,1.653
25/01/2023,1.817,1.58,1.707
19/01/2023,1.774,1.544,1.648
17/01/2023,1.749,1.544,1.648
14/01/2023,1.749,1.544,1.614
10/01/2023,1.707,1.492,1.614
07/01/2023,1.707,1.492,1.573
06/01/2023,1.769,1.507,1.573
05/01/2023,1.769,1.507,1.626
01/01/2023,1.726,1.507,1.626
31/12/2022,1.728,1.507,1.62
29/12/2022,1.701,1.485,1.62
28/12/2022,1.701,1.485,1.597
24/12/2022,1.681,1.485,1.597
21/12/2022,1.681,1.454,1.597
17/12/2022,1.681,1.454,1.637
16/12/2022,1.644,1.454,1.637
14/12/2022,1.644,1.418,1.576
09/12/2022,1.668,1.45,1.549
07/12/2022,1.719,1.505,1.628
02/12/2022,1.758,1.537,1.671
30/11/2022,1.718,1.499,1.623
26/11/2022,1.756,1.539,1.66
23/11/2022,1.756,1.539,1.696
22/11/2022,1.819,1.591,1.696
17/11/2022,1.819,1.591,1.737
15/11/2022,1.873,1.64,1.737
11/11/2022,1.926,1.723,1.825
10/11/2022,1.972,1.723,1.825
09/11/2022,1.972,1.798,1.888
08/11/2022,2.011,1.798,1.888
05/11/2022,2.011,1.722,1.83
04/11/2022,1.945,1.722,1.83
28/10/2022,1.945,1.69,1.982
26/10/2022,1.945,1.717,1.982
22/10/2022,1.945,1.717,2.021
21/10/2022,1.958,1.717,2.021
20/10/2022,1.958,1.717,2.074
19/10/2022,1.958,1.768,2.074
18/10/2022,2.054,1.768,2.038
15/10/2022,2.054,1.768,2.038
14/10/2022,1.987,1.768,2.038
12/10/2022,1.987,1.722,2.083
11/10/2022,1.987,1.722,1.97
08/10/2022,1.945,1.675,1.97
06/10/2022,1.945,1.675,1.893
01/10/2022,1.898,1.675,1.84
30/09/2022,1.874,1.622,1.84
29/09/2022,1.874,1.622,1.763
28/09/2022,1.874,1.648,1.763
24/09/2022,1.874,1.648,1.81
21/09/2022,1.874,1.613,1.749
20/09/2022,1.874,1.64,1.782
16/09/2022,1.861,1.64,1.782
15/09/2022,1.861,1.64,1.86
14/09/2022,1.831,1.586,1.86
10/09/2022,1.831,1.586,1.877
09/09/2022,1.886,1.658,1.877
07/09/2022,1.886,1.658,1.917
03/09/2022,1.841,1.608,1.826
02/09/2022,1.924,1.716,1.895
01/09/2022,1.924,1.716,1.895
31/08/2022,1.882,1.634,1.9
27/08/2022,1.882,1.655,1.9
26/08/2022,1.894,1.655,1.9
24/08/2022,1.894,1.655,1.843
23/08/2022,1.894,1.638,1.804
20/08/2022,1.855,1.638,1.804
18/08/2022,1.855,1.638,1.763
13/08/2022,1.855,1.638,1.717
11/08/2022,1.827,1.62,1.698
09/08/2022,1.817,1.598,1.687
06/08/2022,1.843,1.636,1.713
04/08/2022,1.898,1.669,1.713
02/08/2022,1.965,1.731,1.811
30/07/2022,1.974,1.742,1.816
28/07/2022,1.959,1.731,1.788
26/07/2022,1.941,1.701,1.784
23/07/2022,1.922,1.715,1.749
21/07/2022,1.96,1.747,1.79
19/07/2022,1.958,1.732,1.862
16/07/2022,1.955,1.724,1.828
14/07/2022,2.006,1.762,1.843
12/07/2022,2.077,1.823,1.849
09/07/2022,2.063,1.799,1.846
07/07/2022,2.085,1.859,1.851
05/07/2022,2.061,1.847,1.901
02/07/2022,2.093,1.878,1.848
