date,dead,positive
24/02/2020,0,0
25/02/2020,0,0
26/02/2020,0,0
27/02/2020,0,0
28/02/2020,0,0
29/02/2020,0,0
01/03/2020,0,0
02/03/2020,0,0
03/03/2020,0,0
04/03/2020,0,0
05/03/2020,0,0
06/03/2020,0,0
07/03/2020,0,0
08/03/2020,0,0
09/03/2020,0,0
10/03/2020,0,0
11/03/2020,0,0
12/03/2020,0,0
13/03/2020,0,0
14/03/2020,0,0
15/03/2020,0,0
16/03/2020,0,0
17/03/2020,3,108
18/03/2020,3,147
19/03/2020,4,136
20/03/2020,6,168
21/03/2020,7,119
22/03/2020,7,21
23/03/2020,7,219
24/03/2020,7,173
25/03/2020,9,149
26/03/2020,9,201
27/03/2020,14,152
28/03/2020,17,97
29/03/2020,21,33
30/03/2020,22,136
31/03/2020,26,86
01/04/2020,27,119
02/04/2020,28,109
03/04/2020,29,87
04/04/2020,34,59
05/04/2020,36,31
06/04/2020,38,59
07/04/2020,43,61
08/04/2020,46,64
09/04/2020,49,57
10/04/2020,54,35
11/04/2020,58,7
12/04/2020,62,12
13/04/2020,65,3
14/04/2020,68,59
15/04/2020,68,33
16/04/2020,71,25
17/04/2020,71,44
18/04/2020,74,15
19/04/2020,75,3
20/04/2020,78,15
21/04/2020,80,24
22/04/2020,81,9
23/04/2020,84,16
24/04/2020,85,17
25/04/2020,88,12
26/04/2020,88,5
27/04/2020,89,9
28/04/2020,89,17
29/04/2020,90,10
30/04/2020,92,12
01/05/2020,93,7
02/05/2020,96,4
03/05/2020,96,4
04/05/2020,98,11
05/05/2020,99,8
06/05/2020,100,6
07/05/2020,100,5
08/05/2020,101,3
09/05/2020,101,8
10/05/2020,101,1
11/05/2020,102,4
12/05/2020,103,7
13/05/2020,103,9
14/05/2020,104,3
15/05/2020,105,5
16/05/2020,106,9
17/05/2020,106,1
18/05/2020,108,12
19/05/2020,108,7
20/05/2020,108,7
21/05/2020,108,0
22/05/2020,108,9
23/05/2020,109,2
24/05/2020,109,1
25/05/2020,109,2
26/05/2020,110,5
27/05/2020,110,1
28/05/2020,110,3
29/05/2020,110,3
30/05/2020,110,2
31/05/2020,110,0
01/06/2020,110,1
02/06/2020,110,2
03/06/2020,110,2
04/06/2020,110,4
05/06/2020,110,1
06/06/2020,110,2
07/06/2020,110,1
08/06/2020,110,4
09/06/2020,110,3
10/06/2020,110,4
11/06/2020,110,1
12/06/2020,110,2
13/06/2020,110,8
14/06/2020,110,2
15/06/2020,110,5
16/06/2020,110,7
17/06/2020,110,1
18/06/2020,110,6
19/06/2020,110,9
20/06/2020,110,13
21/06/2020,110,0
22/06/2020,110,12
23/06/2020,110,2
24/06/2020,110,13
25/06/2020,110,19
26/06/2020,110,41
27/06/2020,110,30
28/06/2020,110,10
29/06/2020,110,44
30/06/2020,110,24
01/07/2020,110,50
02/07/2020,110,43
03/07/2020,110,28
04/07/2020,110,49
05/07/2020,110,12
06/07/2020,110,48
07/07/2020,110,52
08/07/2020,110,51
09/07/2020,110,35
10/07/2020,111,56
11/07/2020,111,77
12/07/2020,111,27
13/07/2020,111,92
14/07/2020,111,51
15/07/2020,111,134
16/07/2020,111,106
17/07/2020,111,72
18/07/2020,111,97
19/07/2020,111,27
20/07/2020,111,71
21/07/2020,111,113
22/07/2020,112,77
23/07/2020,112,85
24/07/2020,112,121
25/07/2020,112,74
26/07/2020,112,40
27/07/2020,113,33
28/07/2020,114,138
29/07/2020,114,67
30/07/2020,114,68
31/07/2020,116,77
01/08/2020,117,48
02/08/2020,118,7
03/08/2020,118,49
04/08/2020,118,79
05/08/2020,119,54
06/08/2020,119,33
07/08/2020,120,46
08/08/2020,121,29
09/08/2020,122,7
10/08/2020,123,25
11/08/2020,123,44
12/08/2020,123,55
13/08/2020,123,32
14/08/2020,124,26
15/08/2020,124,15
16/08/2020,124,6
17/08/2020,124,23
18/08/2020,124,58
19/08/2020,124,53
20/08/2020,124,59
21/08/2020,124,50
22/08/2020,124,19
23/08/2020,124,9
24/08/2020,124,28
25/08/2020,124,75
26/08/2020,124,51
27/08/2020,124,37
28/08/2020,124,44
29/08/2020,124,48
30/08/2020,124,4
31/08/2020,124,24
01/09/2020,124,48
02/09/2020,124,60
03/09/2020,124,43
04/09/2020,124,42
05/09/2020,124,53
06/09/2020,124,10
07/09/2020,124,14
08/09/2020,124,48
09/09/2020,124,65
10/09/2020,125,70
11/09/2020,125,35
12/09/2020,125,44
13/09/2020,125,6
14/09/2020,125,40
15/09/2020,125,110
16/09/2020,125,146
17/09/2020,125,177
18/09/2020,125,85
19/09/2020,125,103
20/09/2020,125,10
21/09/2020,125,99
22/09/2020,125,74
23/09/2020,125,67
24/09/2020,125,76
25/09/2020,125,83
26/09/2020,125,46
27/09/2020,125,14
28/09/2020,125,55
29/09/2020,125,78
30/09/2020,125,86
01/10/2020,125,123
02/10/2020,126,88
03/10/2020,126,93
04/10/2020,127,26
05/10/2020,128,54
06/10/2020,128,143
07/10/2020,129,97
08/10/2020,131,140
09/10/2020,132,154
10/10/2020,133,206
11/10/2020,133,9
12/10/2020,133,109
13/10/2020,133,190
14/10/2020,133,214
15/10/2020,133,227
16/10/2020,133,186
17/10/2020,133,242
18/10/2020,135,112
19/10/2020,136,244
20/10/2020,139,478
21/10/2020,140,596
22/10/2020,141,515
23/10/2020,144,862
24/10/2020,146,491
25/10/2020,147,195
26/10/2020,147,485
27/10/2020,148,774
28/10/2020,150,697
29/10/2020,152,777
30/10/2020,157,808
31/10/2020,161,847
01/11/2020,161,320
02/11/2020,168,533
