year,month,passengers
2017,January,1505531
2017,February,1354366
2017,March,1631718
2017,April,1359260
2017,May,1670908
2017,June,1586164
2017,July,1446650
2017,August,1337732
2017,September,1412362
2017,October,1601060
2017,November,1638762
2017,December,1499614
2018,January,1666810
2018,February,1425838
2018,March,1625216
2018,April,1418762
2018,May,1636814
2018,June,1603488
2018,July,1258896
2018,August,1450829
2018,September,1420090
2018,October,1711185
2018,November,1641728
2018,December,1529000
2019,January,1631953
2019,February,1423848
2019,March,1571905
2019,April,1483761
2019,May,1757786
2019,June,1551027
2019,July,1590305
2019,August,1359392
2019,September,1419102
2019,October,1685643
2019,November,1737654
2019,December,1648352
2020,January,1746281
2020,February,1530404
2020,March,922737
2020,April,105152
2020,May,360444
2020,June,585486
2020,July,701334
2020,August,800516
2020,September,988978
2020,October,1291918
2020,November,911788
2020,December,1070303
2021,January,975306
2021,February,856194
2021,March,996727
2021,April,660830
2021,May,893195
2021,June,1020550
2021,July,1001584
2021,August,706702
2021,September,874556
2021,October,1007966
2021,November,1129014
2021,December,1152026
2022,January,1226774
2022,February,1093790
2022,March,1307010
2022,April,1161021
2022,May,1228810
2022,June,1388768
2022,July,1060639
2022,August,1187088
2022,September,1506256
2022,October,1453049
2022,November,1458660
2022,December,1694064
2023,January,1681592
