date,dose1,dose2,dose3,total_dose
2020-12-28,452,0,0,452
2020-12-29,348,0,0,348
2020-12-30,451,0,0,451
2021-01-06,100,0,0,100
2021-01-07,145,0,0,145
2021-01-08,210,0,0,210
2021-01-11,242,0,0,242
2021-01-12,430,0,0,430
2021-01-13,498,0,0,498
2021-01-14,362,0,0,362
2021-01-15,443,0,0,443
2021-01-16,79,0,0,79
2021-01-18,367,447,0,814
2021-01-19,377,347,0,724
2021-01-20,451,449,0,900
2021-01-21,705,0,0,705
2021-01-22,681,1,0,682
2021-01-23,132,0,0,132
2021-01-25,841,1,0,842
2021-01-26,968,0,0,968
2021-01-27,827,97,0,924
2021-01-28,782,141,0,923
2021-01-29,734,198,0,932
2021-01-30,127,0,0,127
2021-02-01,585,225,0,810
2021-02-02,589,423,0,1012
2021-02-03,675,484,0,1159
2021-02-04,659,353,0,1012
2021-02-05,565,451,0,1016
2021-02-06,119,76,0,195
2021-02-08,149,362,0,511
2021-02-09,138,376,0,514
2021-02-10,826,445,0,1271
2021-02-11,1078,390,0,1468
2021-02-12,791,379,0,1170
2021-02-13,335,0,0,335
2021-02-15,798,331,0,1129
2021-02-16,1570,325,0,1895
2021-02-17,983,218,0,1201
2021-02-18,1248,566,0,1814
2021-02-19,1115,509,0,1624
2021-02-20,292,133,0,425
2021-02-22,426,518,0,944
2021-02-23,823,622,0,1445
2021-02-24,777,614,0,1391
2021-02-25,804,507,0,1311
2021-02-26,702,595,0,1297
2021-02-27,301,123,0,424
2021-03-01,562,766,0,1328
2021-03-02,817,527,0,1344
2021-03-03,924,733,0,1657
2021-03-04,1322,729,0,2051
2021-03-05,1251,554,0,1805
2021-03-06,618,116,0,734
2021-03-08,647,159,0,806
2021-03-09,1291,151,0,1442
2021-03-10,2161,334,0,2495
2021-03-11,2870,547,0,3417
2021-03-12,2670,234,0,2904
2021-03-13,1250,24,0,1274
2021-03-15,1396,326,0,1722
2021-03-16,2717,576,0,3293
2021-03-17,2622,464,0,3086
2021-03-18,2652,538,0,3190
2021-03-19,2476,377,0,2853
2021-03-20,1035,27,0,1062
2021-03-22,1025,258,0,1283
2021-03-23,1902,562,0,2464
2021-03-24,1715,622,0,2337
2021-03-25,1786,540,0,2326
2021-03-26,1888,635,0,2523
2021-03-27,1151,230,0,1381
2021-03-29,2765,366,1,3132
2021-03-30,2298,593,0,2891
2021-03-31,2240,845,0,3085
2021-04-01,2707,988,0,3695
2021-04-02,2545,885,0,3430
2021-04-03,2676,422,0,3098
2021-04-05,2566,491,0,3057
2021-04-06,2704,1127,0,3831
2021-04-07,2362,2022,0,4384
2021-04-08,2360,2465,0,4825
2021-04-09,2677,2279,0,4956
2021-04-10,2303,1078,0,3381
2021-04-12,3941,880,0,4821
2021-04-13,3577,2692,0,6269
2021-04-14,3598,2573,1,6172
2021-04-15,3270,2639,0,5909
2021-04-16,3506,2183,0,5689
2021-04-17,4177,802,0,4979
2021-04-19,1141,285,0,1426
2021-04-20,1047,160,0,1207
2021-04-21,2833,487,0,3320
2021-04-22,2601,514,0,3115
2021-04-23,2795,490,0,3285
2021-04-24,2056,313,0,2369
2021-04-25,2,0,0,2
2021-04-26,1284,410,0,1694
2021-04-27,813,605,0,1418
2021-04-28,3766,797,0,4563
2021-04-29,4042,902,0,4944
2021-04-30,3889,866,0,4755
